from,starting label,QID,label,depth,target
Q166074,Extensible HyperText Markup Language,Q290378,internet standard,2,1
Q166074,Extensible HyperText Markup Language,Q58184783,electrical connector system,2,0
Q166074,Extensible HyperText Markup Language,Q85875700,Norma Oficial Mexicana,2,0
Q166074,Extensible HyperText Markup Language,Q576465,GPS eXchange Format,2,0
Q166074,Extensible HyperText Markup Language,Q105990097,UNIX 93,2,0
Q166074,Extensible HyperText Markup Language,Q5100562,Chinese National Standards,2,0
Q166074,Extensible HyperText Markup Language,Q6313217,time standard,2,0
Q166074,Extensible HyperText Markup Language,Q51885764,European standard,2,0
Q341,free software,Q49773,social movement,1,0
Q341,free software,Q17155032,software category,1,1
Q341,free software,Q487365,gateway,2,0
Q1061166,data mart,Q166142,application,1,1
Q1061166,data mart,Q131212,text editor,2,0
Q1061166,data mart,Q860676,image viewer,2,0
Q1061166,data mart,Q2903541,billetterie informatisée,2,0
Q1061166,data mart,Q925622,knowledge-based configuration,2,0
Q1061166,data mart,Q30047053,web archive,2,0
Q1061166,data mart,Q2115026,presentation program,2,0
Q1061166,data mart,Q5227393,database application,2,1
Q1061166,data mart,Q15618491,speech synthesis software‎,2,0
Q1061166,data mart,Q453843,ontology editor,2,0
Q251212,internet of things,Q151885,concept,1,1
Q251212,internet of things,Q24457356,historiographical concept,2,0
Q251212,internet of things,Q21651927,sacred,2,0
Q251212,internet of things,Q188520,classical element,2,0
Q251212,internet of things,Q33104279,philosophical concept,2,0
Q251212,internet of things,Q108688467,Gospel,2,0
Q251212,internet of things,Q109816572,concept of time,2,0
Q251212,internet of things,Q24339576,Norse concept,2,0
Q251212,internet of things,Q108616731,element in Chinese astrology,2,0
Q251212,internet of things,Q24034552,mathematical concept,2,0
Q251212,internet of things,Q131841,idea,2,0
Q251212,internet of things,Q200230,classical element,2,0
Q251212,internet of things,Q2890061,special case,2,0
Q66175,telex,Q340169,media,1,1
Q66175,telex,Q3246542,Vexilloid,2,0
Q66175,telex,Q386274,emailing,2,0
Q66175,telex,Q1002697,periodical,2,0
Q66175,telex,Q1640824,inscription,2,0
Q66175,telex,Q3631847,voice chat in online gaming,2,0
Q66175,telex,Q7189615,physical media,2,0
Q66175,telex,Q806880,banner,2,0
Q66175,telex,Q11033,mass media,2,0
Q66175,telex,Q6423319,knowledge organization system,2,0
Q66175,telex,Q354004,audio storage device,2,0
Q147638,cognitive science,Q1665984,interdisciplinary science,1,1
Q147638,cognitive science,Q11862829,academic discipline,1,1
Q3105497,gigabit,Q3550873,unit of information,1,1
Q3105497,gigabit,Q726868,datagram,2,0
Q3105497,gigabit,Q1999954,standard page,2,0
Q406655,AirDrop,Q312466,utility software,1,1
Q406655,AirDrop,Q15544676,personal computer automation software,2,0
Q406655,AirDrop,Q5134353,clipboard manager,2,0
Q406655,AirDrop,Q1208150,Diagnostic program,2,0
Q406655,AirDrop,Q4839801,backup software,2,0
Q21204,International Phonetic Alphabet,Q579287,phonetic alphabet,1,1
Q79686,Universal Mobile Telecommunications System,Q577764,communications system,1,1
Q79686,Universal Mobile Telecommunications System,Q50804774,Europol Platform for Experts,2,0
Q79686,Universal Mobile Telecommunications System,Q62388664,paging service,2,1
Q79686,Universal Mobile Telecommunications System,Q5264354,design language,2,0
Q79686,Universal Mobile Telecommunications System,Q13425103,communication network,2,1
Q79686,Universal Mobile Telecommunications System,Q15907309,Law Enforcement Online,2,0
Q79686,Universal Mobile Telecommunications System,Q15360302,mobile network,3,1
Q79686,Universal Mobile Telecommunications System,Q535695,cellular network,4,1
Q1394796,false acceptance rate,Q151885,concept,1,1
Q1394796,false acceptance rate,Q24457356,historiographical concept,2,0
Q1394796,false acceptance rate,Q21651927,sacred,2,0
Q1394796,false acceptance rate,Q33104279,philosophical concept,2,0
Q1394796,false acceptance rate,Q108688467,Gospel,2,0
Q1394796,false acceptance rate,Q109816572,concept of time,2,0
Q1394796,false acceptance rate,Q24339576,Norse concept,2,0
Q1394796,false acceptance rate,Q108616731,element in Chinese astrology,2,0
Q1394796,false acceptance rate,Q131841,idea,2,0
Q1394796,false acceptance rate,Q200230,classical element,2,0
Q1394796,false acceptance rate,Q2890061,special case,2,0
Q80535,MIDI,Q20819677,technical specification,1,1
Q80535,MIDI,Q132364,communication protocol,1,1
Q80535,MIDI,Q28858025,Word (.doc) Binary File Format,2,0
Q80535,MIDI,Q58182284,USB specification,2,0
Q80535,MIDI,Q28858054,Excel Binary File Format (.xls) Structure,2,0
Q80535,MIDI,Q974922,Web Map Service,2,0
Q80535,MIDI,Q6045205,Interaction protocol,2,1
Q80535,MIDI,Q4825885,authentication protocol,2,0
Q80535,MIDI,Q5004612,byte-oriented protocol,2,1
Q80535,MIDI,Q7598414,Standards And Recommended Practices,2,1
Q80535,MIDI,Q29053484,PowerPoint (.ppt) Binary File Format,2,0
Q80535,MIDI,Q109772972,technical drawing,2,0
Q80535,MIDI,Q165194,application programming interface,2,0
Q80535,MIDI,Q133862,BitTorrent,2,0
Q80535,MIDI,Q60738905,Legacy Plug and Play,2,0
Q80535,MIDI,Q235557,file format,2,1
Q14149,Internet Group Management Protocol,Q15836568,computer network protocol,1,1
Q14149,Internet Group Management Protocol,Q8795,Internet Protocol,2,1
Q14149,Internet Group Management Protocol,Q8777,Hypertext Transfer Protocol,2,0
Q14149,Internet Group Management Protocol,Q5013874,CRFS (Coherent Remote File System),2,0
Q14149,Internet Group Management Protocol,Q65498858,Mercurial HTTP command protocol,2,0
Q14149,Internet Group Management Protocol,Q3359815,PPPoX,2,0
Q14149,Internet Group Management Protocol,Q1128629,content negotiation,2,0
Q14149,Internet Group Management Protocol,Q81414,Internet protocol suite,2,1
Q14149,Internet Group Management Protocol,Q1422324,Telecommunications Management Network,2,1
Q14149,Internet Group Management Protocol,Q2622793,JetDirect,2,0
Q14149,Internet Group Management Protocol,Q65498626,Mercurial wire protocol,2,0
Q14149,Internet Group Management Protocol,Q1648707,routing protocol,2,1
Q221682,semaphore,Q1799072,method,1,1
Q221682,semaphore,Q603944,data transformation,2,0
Q221682,semaphore,Q2497892,colorimetry,2,0
Q221682,semaphore,Q830382,best practice,2,0
Q221682,semaphore,Q3406136,ProMES,2,0
Q221682,semaphore,Q23656961,storage,2,0
Q221682,semaphore,Q339091,Peshat,2,0
Q221682,semaphore,Q49906,sample,2,0
Q221682,semaphore,Q216177,social bookmarking,2,0
Q221682,semaphore,Q4371075,Graphene production techniques,2,0
Q221682,semaphore,Q393303,Aggregate Method,2,0
Q221682,semaphore,Q7234837,potentially all pairwise rankings of all possible alternatives,2,0
Q221682,semaphore,Q46857,scientific method,2,0
Q221682,semaphore,Q105769,systematics,2,0
Q221682,semaphore,Q3151680,instanciation,2,0
Q221682,semaphore,Q1847896,phasing method,2,0
Q221682,semaphore,Q2331011,propaganda technique,2,0
Q221682,semaphore,Q4291913,technics,2,0
Q221682,semaphore,Q1420867,Eddy-current testing,2,0
Q221682,semaphore,Q3494253,scrum sprint,2,0
Q221682,semaphore,Q1929999,hydrogen production process,2,0
Q221682,semaphore,Q827149,sociometry,2,0
Q221682,semaphore,Q15169167,execution method,2,0
Q221682,semaphore,Q18199114,algebraic construction,2,0
Q221682,semaphore,Q17008186,Cognitive strategy,2,0
Q221682,semaphore,Q12718609,statistical analysis,2,0
Q221682,semaphore,Q781492,optogenetics,2,0
Q221682,semaphore,Q5581556,task farming,2,0
Q221682,semaphore,Q26883106,finely chopped,2,0
Q221682,semaphore,Q105185490,Test Trace Isolate,2,0
Q221682,semaphore,Q48746328,Kabyle smile,2,0
Q221682,semaphore,Q5347270,effective method,2,0
Q221682,semaphore,Q26879200,biochemistry method,2,0
Q221682,semaphore,Q29477614,method of dissipating heat,2,0
Q221682,semaphore,Q5341294,educational measurement,2,0
Q221682,semaphore,Q1368455,opt-out,2,0
Q221682,semaphore,Q81009,rhetoric,2,0
Q221682,semaphore,Q105102340,validation method,2,0
Q221682,semaphore,Q1438073,research method,2,0
Q221682,semaphore,Q339466,Accounting method,2,0
Q221682,semaphore,Q4116218,conversion of scripts,2,0
Q221682,semaphore,Q7186193,philosophical method,2,0
Q221682,semaphore,Q6786863,mathematical methods in electronics,2,0
Q221682,semaphore,Q115646,Newton polygon,2,0
Q221682,semaphore,Q24262840,numerical method,2,0
Q336284,MPEG-1,Q1144899,broadcast television system,1,1
Q336284,MPEG-1,Q235557,file format,1,1
Q336284,MPEG-1,Q287067,ABC notation,2,0
Q336284,MPEG-1,Q2043680,PAL-60,2,1
Q336284,MPEG-1,Q28846076,Classification Results File Format,2,0
Q336284,MPEG-1,Q1224822,Digital Terrain Elevation Data,2,0
Q336284,MPEG-1,Q5227180,Data Interchange Format,2,0
Q336284,MPEG-1,Q467454,Rich Text Format,2,0
Q336284,MPEG-1,Q223535,Matroska,2,1
Q336284,MPEG-1,Q2043676,PAL-50,2,1
Q336284,MPEG-1,Q99602118,NTSC analog television standard,2,1
Q115637,Mobile Station Roaming Number,Q853614,identifier,1,1
Q115637,Mobile Station Roaming Number,Q110861089,HTTP status code,2,0
Q115637,Mobile Station Roaming Number,Q54975531,incorrect identifier value,2,0
Q115637,Mobile Station Roaming Number,Q58328791,identifiant non signifiant,2,1
Q115637,Mobile Station Roaming Number,Q4392007,registration number,2,0
Q115637,Mobile Station Roaming Number,Q369494,Joint Electronics Type Designation System,2,0
Q115637,Mobile Station Roaming Number,Q1649137,Society Reference Catalogue,2,0
Q115637,Mobile Station Roaming Number,Q110609500,type of register,2,0
Q115637,Mobile Station Roaming Number,Q1268470,product key,2,0
Q115637,Mobile Station Roaming Number,Q1541645,process identifier,2,0
Q115637,Mobile Station Roaming Number,Q98512004,catalog number,2,0
Q115637,Mobile Station Roaming Number,Q111653916,ticket number,2,0
Q850661,XQuery,Q3839507,functional programming language,1,1
Q850661,XQuery,Q845739,query language,1,1
Q850661,XQuery,Q47607,Structured Query Language,2,1
Q850661,XQuery,Q60551191,graph query language,2,1
Q850661,XQuery,Q7263491,information retrieval query language,2,1
Q850661,XQuery,Q17092833,Jaql,2,1
Q850661,XQuery,Q3459982,SQL:2011,3,1
Q850661,XQuery,Q28941000,SQL:2016,3,1
Q850661,XQuery,Q4048871,SQL-92,3,1
Q850661,XQuery,Q7392729,SQL:2006,3,1
Q850661,XQuery,Q5854085,FSQL,3,1
Q850661,XQuery,Q2063791,SQL:2008,3,1
Q850661,XQuery,Q4048881,SQL:2003,3,1
Q850661,XQuery,Q2025506,OpenSQL,3,1
Q850661,XQuery,Q6138701,RDF query language,3,1
Q850661,XQuery,Q4048878,SQL:1999,3,1
Q850661,XQuery,Q28163355,SQL-86,3,1
Q850661,XQuery,Q28163046,SQL-89,3,1
Q104534,digital subscriber line,Q317623,technical standard,1,1
Q104534,digital subscriber line,Q11016,technology,1,1
Q104534,digital subscriber line,Q1780543,communication technology,2,1
Q104534,digital subscriber line,Q2309650,MPEG-3,2,0
Q104534,digital subscriber line,Q105990004,UNIX 95,2,0
Q104534,digital subscriber line,Q105990097,UNIX 93,2,0
Q104534,digital subscriber line,Q375479,standard illuminant,2,0
Q104534,digital subscriber line,Q11362401,International standard,2,1
Q104534,digital subscriber line,Q6887246,mobile technology,2,1
Q104534,digital subscriber line,Q5268834,information and communications technology,2,1
Q104534,digital subscriber line,Q51885764,European standard,2,1
Q44395,pascal,Q69197847,coherent SI unit,1,1
Q44395,pascal,Q4173969,unit of pressure,1,1
Q44395,pascal,Q82047057,UCUM derived unit,1,1
Q44395,pascal,Q68618328,SI unit with special name,1,1
Q44395,pascal,Q208469,SI derived unit,1,1
Q44395,pascal,Q23808078,Field  power  and root-power quantities,2,0
Q44395,pascal,Q7444568,section,2,0
Q44395,pascal,Q223662,SI base unit,2,1
Q44395,pascal,Q83155724,UCUM constant,2,1
Q9353697,TFTS,Q577764,communications system,1,1
Q9353697,TFTS,Q50804774,Europol Platform for Experts,2,0
Q9353697,TFTS,Q62388664,paging service,2,1
Q9353697,TFTS,Q5264354,design language,2,0
Q9353697,TFTS,Q13425103,communication network,2,1
Q9353697,TFTS,Q26836373,Europol Information System,2,0
Q9353697,TFTS,Q1139744,emergency communication system,2,1
Q9353697,TFTS,Q1068715,telecommunications network,2,1
Q9353697,TFTS,Q15907309,Law Enforcement Online,2,0
Q9353697,TFTS,Q15057100,broadband Internet access,3,1
Q9353697,TFTS,Q75,Internet,3,1
Q9353697,TFTS,Q1120452,communications-based train control,3,1
Q9353697,TFTS,Q1301371,computer network,3,1
Q9353697,TFTS,Q141683,broadcast network,3,1
Q9353697,TFTS,Q2354216,telephone network,3,1
Q9353697,TFTS,Q5570871,global network,3,1
Q9353697,TFTS,Q15360302,mobile network,3,1
Q9353697,TFTS,Q6055991,Internet in the United States,4,0
Q9353697,TFTS,Q1324289,home network,4,0
Q9353697,TFTS,Q206637,computer cluster,4,0
Q9353697,TFTS,Q79984,Ethernet,4,0
Q212327,Document Type Definition,Q1043076,XML schema,1,1
Q176165,database management system,Q17155032,software category,1,1
Q176165,database management system,Q907342,compatibility layer,2,0
Q176165,database management system,Q28168011,X server,2,0
Q176165,database management system,Q1074158,educational software,2,0
Q176165,database management system,Q487365,gateway,2,0
Q176165,database management system,Q1727373,lint,2,0
Q176165,database management system,Q1756442,LR parser,2,0
Q176165,database management system,Q643876,Virtual printer,2,0
Q176165,database management system,Q570871,email client,2,0
Q176165,database management system,Q28057030,ERP software,2,0
Q176165,database management system,Q3077240,forge,2,0
Q176165,database management system,Q15079042,spaced repetition software,2,0
Q42378,Universal Serial Bus,Q67080166,protocol suite,1,1
Q42378,Universal Serial Bus,Q6046311,interface standard,1,1
Q42378,Universal Serial Bus,Q385853,de facto standard,1,1
Q42378,Universal Serial Bus,Q5655515,drive interface,2,1
Q42378,Universal Serial Bus,Q178048,bus,2,1
Q42378,Universal Serial Bus,Q132364,communication protocol,2,1
Q42378,Universal Serial Bus,Q4524036,expansion bus,3,1
Q42378,Universal Serial Bus,Q230360,Parallel ATA,3,1
Q42378,Universal Serial Bus,Q7168699,peripheral bus,3,1
Q42378,Universal Serial Bus,Q911682,address bus,3,1
Q42378,Universal Serial Bus,Q21078287,serial bus,3,1
Q42378,Universal Serial Bus,Q5514543,GSC bus,3,1
Q42378,Universal Serial Bus,Q48739515,U.2,3,0
Q42378,Universal Serial Bus,Q21078294,parallel bus,3,1
Q42378,Universal Serial Bus,Q742323,back-side bus,3,1
Q42378,Universal Serial Bus,Q2928673,data bus,3,1
Q42378,Universal Serial Bus,Q64693901,multi-lane serial bus,3,1
Q42378,Universal Serial Bus,Q4038774,Fireplane,3,0
Q42378,Universal Serial Bus,Q1867168,Local Interconnect Network,4,0
Q20514253,blockchain,Q151885,concept,1,1
Q20514253,blockchain,Q24457356,historiographical concept,2,0
Q20514253,blockchain,Q61000422,identity lane,2,0
Q20514253,blockchain,Q33104129,sociological concept,2,0
Q20514253,blockchain,Q33104279,philosophical concept,2,0
Q20514253,blockchain,Q109816572,concept of time,2,0
Q20514253,blockchain,Q108688467,Gospel,2,0
Q20514253,blockchain,Q24339576,Norse concept,2,0
Q20514253,blockchain,Q108616731,element in Chinese astrology,2,0
Q20514253,blockchain,Q131841,idea,2,0
Q20514253,blockchain,Q200230,classical element,2,0
Q20514253,blockchain,Q4386060,cognitive architecture,2,0
Q20514253,blockchain,Q2890061,special case,2,0
Q20514253,blockchain,Q21651927,sacred,2,0
Q20514253,blockchain,Q17737,theory,2,0
Q20514253,blockchain,Q188520,classical element,2,0
Q20514253,blockchain,Q72943202,concept of democracy,2,0
Q20514253,blockchain,Q1969448,term,2,0
Q20514253,blockchain,Q14944328,example,2,0
Q20514253,blockchain,Q3033600,public trust doctrine,2,0
Q20514253,blockchain,Q24034552,mathematical concept,2,0
Q627335,workflow,Q1914636,activity,1,1
Q627335,workflow,Q28520605,procedure,1,1
Q627335,workflow,Q155930,maritime transport,2,0
Q627335,workflow,Q1043452,maintenance,2,0
Q627335,workflow,Q4393178,ship repair,2,0
Q627335,workflow,Q1479406,preservation,2,0
Q627335,workflow,Q21013308,timing,2,0
Q627335,workflow,Q830382,best practice,2,0
Q627335,workflow,Q1639895,legalization,2,0
Q627335,workflow,Q780654,skinning,2,0
Q627335,workflow,Q22270382,swimming,2,0
Q627335,workflow,Q7316611,retail loss prevention,2,0
Q627335,workflow,Q14226735,New York City with children,2,0
Q627335,workflow,Q106434272,CIA activities,2,0
Q627335,workflow,Q11861237,administrative procedure,2,0
Q627335,workflow,Q7708485,textile process,2,0
Q627335,workflow,Q5152592,commercialization,2,0
Q627335,workflow,Q34577,poaching,2,0
Q627335,workflow,Q933054,election monitoring,2,0
Q627335,workflow,Q55109212,retirement,2,0
Q627335,workflow,Q47041624,combat operations,2,0
Q627335,workflow,Q5179254,covering a base,2,0
Q627335,workflow,Q11379765,patrol,2,0
Q627335,workflow,Q1908849,job-hopping,2,0
Q627335,workflow,Q16944487,waiting,2,0
Q54837,Semantic Web,Q121182,information system,1,1
Q11422650,Kokusai Denshin Denwa,Q4830453,business,1,1
Q11422650,Kokusai Denshin Denwa,Q220142,pet store,2,0
Q11422650,Kokusai Denshin Denwa,Q105547053,UK cable company,2,0
Q11422650,Kokusai Denshin Denwa,Q16968466,regional health authority,2,0
Q11661,information technology,Q8148,industry,1,1
Q11661,information technology,Q11862829,academic discipline,1,1
Q11661,information technology,Q2465832,branch of science,1,1
Q11661,information technology,Q64812921,Computing Science,2,1
Q11661,information technology,Q64801099,Early Childhood Education and Care,2,0
Q11661,information technology,Q20102756,Andreu World,2,0
Q11661,information technology,Q57204579,social ecology,2,0
Q11661,information technology,Q97485545,littérature amérindienne,2,0
Q11661,information technology,Q28598684,branch of biology,2,0
Q11661,information technology,Q64806424,Pacific Journalism,2,0
Q11661,information technology,Q3754526,administration,2,0
Q11661,information technology,Q1903919,porcelain and ceramic industry,2,0
Q11661,information technology,Q2001056,land management,2,0
Q11661,information technology,Q65054879,Mediterranean studies,2,0
Q11661,information technology,Q1979901,perfumery,2,0
Q11661,information technology,Q66593259,branch of biotechnology,2,1
Q11661,information technology,Q64689455,Medical Image Science,2,1
Q11661,information technology,Q60310061,branch of theology,2,0
Q11661,information technology,Q6028209,industry of Iran,2,0
Q11661,information technology,Q1368144,Esperantology,2,0
Q11661,information technology,Q1136351,information industry,2,1
Q11661,information technology,Q12015335,branch of engineering,2,1
Q11661,information technology,Q6168352,jazz education,2,0
Q11661,information technology,Q7284249,Railway equipment industry in the People's Republic of China,2,0
Q1115586,National Commission on Informatics and Liberty,Q2872764,French independent administrative authority,1,1
Q1115586,National Commission on Informatics and Liberty,Q55499415,data protection supervisory authority,1,1
Q1115586,National Commission on Informatics and Liberty,Q18558685,French independent public authority,2,1
Q1115586,National Commission on Informatics and Liberty,Q1802121,State Commissioner for Data Protection,2,1
Q185796,NTSC,Q1144899,broadcast television system,1,1
Q185796,NTSC,Q2043676,PAL-50,2,1
Q185796,NTSC,Q99602118,NTSC analog television standard,2,1
Q185796,NTSC,Q2043680,PAL-60,2,1
Q753479,Bootstrap protocol,Q15836568,computer network protocol,1,1
Q753479,Bootstrap protocol,Q3359815,PPPoX,2,0
Q753479,Bootstrap protocol,Q8777,Hypertext Transfer Protocol,2,0
Q753479,Bootstrap protocol,Q5013874,CRFS (Coherent Remote File System),2,0
Q753479,Bootstrap protocol,Q2622793,JetDirect,2,0
Q191342,LAMP,Q9143,programming language,1,1
Q191342,LAMP,Q506883,free and open-source software,1,1
Q191342,LAMP,Q4117397,systems programming language,2,0
Q191342,LAMP,Q75988682,non-procedural programming language,2,0
Q191342,LAMP,Q28920117,structured programming language,2,0
Q191342,LAMP,Q28920181,dataflow programming language,2,0
Q191342,LAMP,Q28923013,inductive logic programming language,2,0
Q191342,LAMP,Q7998546,wide-spectrum language,2,0
Q191342,LAMP,Q28920795,function-level language,2,0
Q1363408,5G,Q2674461,mobile phone generation,1,1
Q816432,project manager,Q28640,profession,1,1
Q816432,project manager,Q4164871,position,1,1
Q816432,project manager,Q1863649,side job,2,0
Q816432,project manager,Q28172535,Mayor of Peshawar,2,0
Q816432,project manager,Q1207353,head of department,2,1
Q816432,project manager,Q103838820,elected position,2,0
Q816432,project manager,Q56654120,superintendent of Recreio e Vargens,2,0
Q816432,project manager,Q1766113,lighthouse keeper,2,0
Q816432,project manager,Q56604690,textile profession,2,0
Q816432,project manager,Q60028304,Lieutenant Governors of Brazil,2,0
Q816432,project manager,Q81034197,Slovene ambassador to Slovakia,2,0
Q816432,project manager,Q107427726,honorary consul to Bangladesh,2,0
Q816432,project manager,Q109255195,Ministre des affaires étrangères  de la coopération internationale  de l'Intégration africaine et des guinéens de l'étranger,2,0
Q816432,project manager,Q91188763,orthodox religious occupation,2,0
Q816432,project manager,Q7201527,plant operator,2,0
Q816432,project manager,Q3043456,Délégué militaire régional,2,0
Q816432,project manager,Q3333729,Métiers dans l'Égypte antique,2,0
Q816432,project manager,Q49838176,executives of counties in Maryland,2,0
Q816432,project manager,Q303618,diplomatic rank,2,0
Q816432,project manager,Q1276214,European Union Special Representative,2,0
Q816432,project manager,Q63456757,ambassador of Hungary to Azerbaijan,2,0
Q816432,project manager,Q13365589,principal,2,0
Q816432,project manager,Q104548415,canicrosseur,2,0
Q816432,project manager,Q2937346,Capitão do donatário,2,0
Q816432,project manager,Q30682903,data protection officer,2,1
Q816432,project manager,Q188628,board of directors,2,0
Q816432,project manager,Q29512034,list of ambassadors of the European Union,2,0
Q816432,project manager,Q11938128,Mutasarrıf,2,0
Q816432,project manager,Q111599259,Regulated profession,2,0
Q816432,project manager,Q103810966,circus profession,2,0
Q816432,project manager,Q59289676,Chief of staff of the French Ministry of the Interior,2,0
Q816432,project manager,Q47529145,Stationsleiter,2,0
Q816432,project manager,Q73864327,Commander of the Joint Forces,2,0
Q816432,project manager,Q3922583,health profession,2,0
Q816432,project manager,Q2133201,Procureur du Bien Public,2,0
Q816432,project manager,Q62578836,Permanent Representative of Hungary to the United Nations  New York,2,0
Q816432,project manager,Q15894241,assistant commissioner,2,0
Q816432,project manager,Q3349717,officier ministériel,2,0
Q816432,project manager,Q11452125,East Asian government service,2,0
Q816432,project manager,Q24884545,engineering controls,2,0
Q816432,project manager,Q63431749,ambassador of Hungary to Norway,2,0
Q816432,project manager,Q4907518,superior,2,1
Q816432,project manager,Q2137774,government governor,2,0
Q816432,project manager,Q3333733,musicology profession,2,0
Q2746660,Agile Manifesto,Q46337,manifesto,1,0
Q53222,Digital Living Network Alliance,Q163740,nonprofit organization,1,1
Q53222,Digital Living Network Alliance,Q17635403,French movement for freedom of abortion and birth control,2,0
Q53222,Digital Living Network Alliance,Q7062022,not-for-profit arts organization,2,0
Q53222,Digital Living Network Alliance,Q31883598,ideell förening,2,0
Q53222,Digital Living Network Alliance,Q4998806,burial society,2,0
Q53222,Digital Living Network Alliance,Q4671329,academy school,2,0
Q53222,Digital Living Network Alliance,Q240625,501(c) organization,2,0
Q53222,Digital Living Network Alliance,Q1231729,contrada of Siena,2,0
Q53222,Digital Living Network Alliance,Q2396296,Helsinki Committee for Human Rights,2,0
Q53222,Digital Living Network Alliance,Q6503182,Law centre,2,0
Q53222,Digital Living Network Alliance,Q6054513,international association without lucrative purpose,2,0
Q53222,Digital Living Network Alliance,Q1500848,Gemeinnützige Aktiengesellschaft,2,0
Q344266,Active Server Pages,Q9143,programming language,1,1
Q344266,Active Server Pages,Q1330336,web framework,1,1
Q344266,Active Server Pages,Q189224,pseudocode,2,0
Q44127,server,Q4897819,role,1,1
Q44127,server,Q1498321,opposite,2,0
Q44127,server,Q1707847,role,2,0
Q44127,server,Q586277,degree,2,0
Q44127,server,Q11424100,status,2,0
Q44127,server,Q214339,role,2,0
Q15618663,product backlog,Q1969448,term,1,1
Q15618663,product backlog,Q20986437,naming dispute,2,0
Q15618663,product backlog,Q62846988,nomenclatural term,2,0
Q15618663,product backlog,Q58233068,humorous,2,0
Q15618663,product backlog,Q28753832,Go term,2,0
Q15618663,product backlog,Q80765736,historic term,2,0
Q15618663,product backlog,Q3475445,Schmilblick,2,0
Q15618663,product backlog,Q77329811,wrestling term,2,0
Q15618663,product backlog,Q57158028,general term,2,0
Q15618663,product backlog,Q41014950,ChEBI Ontology term,2,0
Q15618663,product backlog,Q76397847,financial term,2,0
Q15618663,product backlog,Q1400565,spur,2,0
Q15618663,product backlog,Q1741898,children's language,2,0
Q15618663,product backlog,Q59333207,textile term,2,0
Q15618663,product backlog,Q106576055,linguistic term,2,0
Q15618663,product backlog,Q3016945,settlement date,2,0
Q15618663,product backlog,Q12812139,technical term,2,0
Q15618663,product backlog,Q3107473,Jew,2,0
Q15618663,product backlog,Q67513833,hypotype,2,0
Q15618663,product backlog,Q57495609,old,2,0
Q15618663,product backlog,Q76419415,botanic term,2,0
Q15618663,product backlog,Q83464,euphemism,2,0
Q15618663,product backlog,Q19610271,literary term,2,0
Q15618663,product backlog,Q66762677,political term,2,0
Q15618663,product backlog,Q7546863,Quisling,2,0
Q15618663,product backlog,Q109539540,Buffetings of Satan,2,0
Q15618663,product backlog,Q1743109,Unchurched,2,0
Q15618663,product backlog,Q23017666,Art & Architecture Thesaurus LOD Dataset,2,0
Q15618663,product backlog,Q84563266,partner dance term,2,0
Q15618663,product backlog,Q16874643,legal term,2,0
Q15618663,product backlog,Q77080538,video game term,2,0
Q15618663,product backlog,Q107210912,kinship term,2,0
Q15618663,product backlog,Q77285685,project management term,2,1
Q15618663,product backlog,Q1521634,vulgarism,2,0
Q15618663,product backlog,Q181970,archaism,2,0
Q15618663,product backlog,Q376431,color term,2,0
Q15618663,product backlog,Q77092480,organic chemistry term,2,0
Q15618663,product backlog,Q545779,pejorative,2,0
Q15618663,product backlog,Q77094271,card game term,2,0
Q15618663,product backlog,Q66746920,jargon term,2,0
Q15618663,product backlog,Q77099717,semiotic term,2,0
Q15618663,product backlog,Q7632742,Succès de scandale,2,0
