qid,label
Q93312,OSI model
Q9340,Google Drive
Q9353697,TFTS
Q9367264,Office of Electronic Communication
Q94,Android
Q9492,probability
Q95,Google
Q959710,Password Authentication Protocol
Q978801,mobile country code
Q9798,saxophone
