QID,label,from,starting label,target,depth
Q1311569,Railway divisions in Germany,Q4007363,ITU Telecommunication Standardization Sector,0,2
Q210167,video game developer,Q1060165,Riot Games,1,1
Q13276,cake,Q548319,kouign-amann,1,1
Q7802,bread,Q548319,kouign-amann,1,1
Q163740,nonprofit organization,Q1138866,International Commission on Non-Ionizing Radiation Protection,1,1
Q11570934,specified non-profit corporation,Q1138866,International Commission on Non-Ionizing Radiation Protection,1,2
Q17084016,nonprofit corporation,Q1138866,International Commission on Non-Ionizing Radiation Protection,1,2
Q3550873,unit of information,Q214111,packet,1,1
Q2634565,Protocol data unit,Q214111,packet,1,1
Q726868,datagram,Q214111,packet,1,2
Q1999954,standard page,Q214111,packet,0,2
Q27027181,,Q214111,packet,1,3
Q3189917,Jumbogram,Q214111,packet,1,3
Q1654276,IP packet,Q214111,packet,1,3
Q4342328,IPv6 packet,Q214111,packet,1,4
Q235557,file format,Q336284,MPEG-1,1,1
Q1144899,broadcast television system,Q336284,MPEG-1,1,1
Q28846076,Classification Results File Format,Q336284,MPEG-1,0,2
Q2043680,PAL-60,Q336284,MPEG-1,1,2
Q287067,ABC notation,Q336284,MPEG-1,0,2
Q2043676,PAL-50,Q336284,MPEG-1,1,2
Q5227180,Data Interchange Format,Q336284,MPEG-1,0,2
Q1224822,Digital Terrain Elevation Data,Q336284,MPEG-1,0,2
Q467454,Rich Text Format,Q336284,MPEG-1,0,2
Q223535,Matroska,Q336284,MPEG-1,1,2
Q192532,digital rights management,Q337535,Steam,0,1
Q1334294,software repository,Q337535,Steam,1,1
Q58199,instant messaging,Q337535,Steam,1,1
Q4110622,videochat,Q337535,Steam,0,2
Q3559933,Live support software,Q337535,Steam,0,2
Q8048052,Yamigo,Q337535,Steam,0,2
Q5398426,television series,Q8539,The Big Bang Theory,1,1
Q613930,thematic relation,Q2574811,cause,1,1
Q4897819,role,Q2574811,cause,1,1
Q1707847,role,Q2574811,cause,0,2
Q179435,satellite navigation system,Q193902,Galileo,1,1
Q20181002,radionavigation-satellite service,Q193902,Galileo,1,2
Q1978634,IP PBX,Q622754,Asterisk,1,1
Q341,free software,Q622754,Asterisk,1,1
Q2816466,3CX Phone System,Q622754,Asterisk,1,2
Q2872764,French independent administrative authority,Q1115586,National Commission on Informatics and Liberty,1,1
Q55499415,data protection supervisory authority,Q1115586,National Commission on Informatics and Liberty,1,1
Q18558685,French independent public authority,Q1115586,National Commission on Informatics and Liberty,1,2
Q1802121,State Commissioner for Data Protection,Q1115586,National Commission on Informatics and Liberty,1,2
Q19862406,business,Q38695,cooking,1,1
Q16920758,food and drink preparation,Q38695,cooking,1,1
Q61788060,human activity,Q38695,cooking,1,1
Q17082653,candy making,Q38695,cooking,1,2
Q6545185,unique identifier,Q29001086,autonomous system number,1,1
Q36962099,cultural heritage identifier,Q29001086,autonomous system number,0,2
Q290378,internet standard,Q8795,Internet Protocol,1,1
Q14208553,invention,Q8795,Internet Protocol,1,1
Q5455176,Fisk metallic burial case,Q8795,Internet Protocol,0,2
Q1349214,Four Great Inventions,Q8795,Internet Protocol,0,2
Q6723631,machine,Q8795,Internet Protocol,0,2
Q211586,mechanical calculator,Q8795,Internet Protocol,0,2
Q7920564,Venus for Men,Q8795,Internet Protocol,0,2
Q2674461,mobile phone generation,Q79697,4G,1,1
Q11016,technology,Q161618,asymmetric digital subscriber line,1,1
Q10952243,industrial technology,Q161618,asymmetric digital subscriber line,0,2
Q538722,Applied Computer Science,Q161618,asymmetric digital subscriber line,0,2
Q743030,environmental technology,Q161618,asymmetric digital subscriber line,0,2
Q6941971,music instrument technology,Q161618,asymmetric digital subscriber line,0,2
Q1001378,cinematic technique,Q161618,asymmetric digital subscriber line,0,2
Q7449091,Semantic technology,Q161618,asymmetric digital subscriber line,0,2
Q7681758,tamper-evident technology,Q161618,asymmetric digital subscriber line,0,2
Q19292902,vehicle safety technology,Q161618,asymmetric digital subscriber line,0,2
Q208163,signal processing,Q161618,asymmetric digital subscriber line,0,2
Q6140109,materials technology,Q161618,asymmetric digital subscriber line,0,2
Q6887246,mobile technology,Q161618,asymmetric digital subscriber line,0,2
Q54006339,display technology,Q161618,asymmetric digital subscriber line,0,2
Q56297438,header bidding,Q161618,asymmetric digital subscriber line,0,2
Q1916441,media technology,Q161618,asymmetric digital subscriber line,0,2
Q2865882,industrial arts,Q161618,asymmetric digital subscriber line,0,2
Q348091,nuclear technology,Q161618,asymmetric digital subscriber line,0,2
Q211017,e-government,Q161618,asymmetric digital subscriber line,0,2
Q60790901,Pedestrian crash avoidance mitigation,Q161618,asymmetric digital subscriber line,0,2
Q5357718,Electrical engineering technology,Q161618,asymmetric digital subscriber line,1,2
Q4704909,Ancient Greek technology,Q161618,asymmetric digital subscriber line,0,2
Q12739,nuclear power,Q161618,asymmetric digital subscriber line,0,2
Q48772760,Solar energy conversion,Q161618,asymmetric digital subscriber line,0,2
Q1415656,hierarchical storage management,Q161618,asymmetric digital subscriber line,0,2
Q23001701,technics,Q161618,asymmetric digital subscriber line,1,2
Q1392806,drug delivery,Q161618,asymmetric digital subscriber line,0,2
Q4086911,biomedical technology,Q161618,asymmetric digital subscriber line,0,2
Q5063947,low floor technology,Q161618,asymmetric digital subscriber line,0,2
Q104954,radio-frequency identification,Q161618,asymmetric digital subscriber line,0,2
Q911772,technical chemistry,Q161618,asymmetric digital subscriber line,0,2
Q6764311,marine technology,Q161618,asymmetric digital subscriber line,0,2
Q4838457,baby shampoo,Q180204,shampoo,1,1
Q599755,Garnier,Q180204,shampoo,1,1
Q791930,Axe,Q180204,shampoo,1,1
Q50430027,hair care products,Q180204,shampoo,1,1
Q11322916,dry shampoo,Q180204,shampoo,1,1
Q11108449,hair dye,Q180204,shampoo,1,2
Q1440300,observation tower,Q243,Eiffel Tower,1,1
Q1440476,lattice tower,Q243,Eiffel Tower,1,1
Q570116,tourist attraction,Q243,Eiffel Tower,1,1
Q804399,Blaw-Knox tower,Q243,Eiffel Tower,0,2
Q31855,research institute,Q2944989,Centre commun d'études de télévision et télécommunications,1,1
Q1005976,Bundesforschungsanstalt,Q2944989,Centre commun d'études de télévision et télécommunications,0,2
Q2586266,institute for advanced study,Q2944989,Centre commun d'études de télévision et télécommunications,0,2
Q2624320,United States national laboratory,Q2944989,Centre commun d'études de télévision et télécommunications,0,2
Q20820271,graduate school,Q2944989,Centre commun d'études de télévision et télécommunications,0,2
Q3726309,state research institution,Q2944989,Centre commun d'études de télévision et télécommunications,0,2
Q22811668,archaeological institute,Q2944989,Centre commun d'études de télévision et télécommunications,0,2
Q22338329,federally funded research and development center,Q2944989,Centre commun d'études de télévision et télécommunications,0,2
Q20168706,Fraunhofer Institute,Q2944989,Centre commun d'études de télévision et télécommunications,1,2
Q57910923,digital humanities center,Q2944989,Centre commun d'études de télévision et télécommunications,0,2
Q3152110,Technological Research Institute,Q2944989,Centre commun d'études de télévision et télécommunications,1,2
Q327333,government agency,Q3029579,Direction interministérielle du numérique et du système d’information et de communication (DINSIC),1,1
Q1851579,Secretariat of the Central Committee of the Communist Party of the Soviet Union,Q3029579,Direction interministérielle du numérique et du système d’information et de communication (DINSIC),0,2
Q732717,law enforcement agency,Q3029579,Direction interministérielle du numérique et du système d’information et de communication (DINSIC),0,2
Q59456832,medical board,Q3029579,Direction interministérielle du numérique et du système d’information et de communication (DINSIC),0,2
Q28599747,education agency,Q3029579,Direction interministérielle du numérique et du système d’information et de communication (DINSIC),0,2
Q3029442,directorate,Q3029579,Direction interministérielle du numérique et du système d’information et de communication (DINSIC),1,2
Q17155032,software category,Q14644,spyware,1,1
Q15836568,computer network protocol,Q753479,Bootstrap protocol,1,1
Q3359815,PPPoX,Q753479,Bootstrap protocol,0,2
Q5013874,CRFS (Coherent Remote File System),Q753479,Bootstrap protocol,0,2
Q2622793,JetDirect,Q753479,Bootstrap protocol,0,2
Q8777,Hypertext Transfer Protocol,Q753479,Bootstrap protocol,0,2
Q1914636,activity,Q836575,quality assurance,1,1
Q208165,collecting,Q836575,quality assurance,0,2
Q2912143,scapegoating,Q836575,quality assurance,0,2
Q11977025,indexing (information technology),Q836575,quality assurance,0,2
Q2692551,dewatering,Q836575,quality assurance,0,2
Q2997557,fire safety,Q836575,quality assurance,0,2
Q206021,flight,Q836575,quality assurance,0,2
Q17113173,cannibalization,Q836575,quality assurance,0,2
Q265939,patronage,Q836575,quality assurance,0,2
Q9332,behavior,Q836575,quality assurance,0,2
Q124490,violence,Q836575,quality assurance,0,2
Q10706874,coercive measures,Q836575,quality assurance,0,2
Q1168263,function,Q836575,quality assurance,1,2
Q34577,poaching,Q836575,quality assurance,0,2
Q43393537,dancing,Q836575,quality assurance,0,2
Q7708485,textile process,Q836575,quality assurance,0,2
Q628455,rite,Q836575,quality assurance,0,2
Q60469219,ecological recovery,Q836575,quality assurance,0,2
Q27939,singing,Q836575,quality assurance,0,2
Q1043452,maintenance,Q836575,quality assurance,1,2
Q2607241,mise en scène,Q836575,quality assurance,0,2
Q5249498,declassification,Q836575,quality assurance,0,2
Q2142602,rehabilitation,Q836575,quality assurance,0,2
Q7371358,rout,Q836575,quality assurance,0,2
Q80006,computer programming,Q836575,quality assurance,1,2
Q2956685,disruption,Q836575,quality assurance,0,2
Q2984259,summer camp,Q836575,quality assurance,0,2
Q18089080,citing,Q836575,quality assurance,0,2
Q13438506,fertilizing,Q836575,quality assurance,0,2
Q11540953,search,Q836575,quality assurance,0,2
Q1351959,insect farming,Q836575,quality assurance,0,2
Q11640,outreach,Q836575,quality assurance,0,2
Q5377030,energy conservation measure,Q836575,quality assurance,0,2
Q494330,after-school activity,Q836575,quality assurance,0,2
Q6765918,wrongdoing,Q836575,quality assurance,0,2
Q6815577,memorialization,Q836575,quality assurance,0,2
Q2050700,paper folding,Q836575,quality assurance,0,2
Q14204746,travelling with children,Q836575,quality assurance,0,2
Q356674,reference model,Q93312,OSI model,1,1
Q4380897,enterprise architecture framework,Q93312,OSI model,0,2
Q7119938,POLDAT,Q93312,OSI model,1,2
Q1281199,password manager,Q762660,KeePass,1,1
Q506883,free and open-source software,Q762660,KeePass,1,1
Q21125433,free or open-source video game,Q762660,KeePass,0,2
Q15968274,GNOME Core Applications,Q762660,KeePass,0,2
Q270791,state-owned enterprise,Q1665102,Institut national de l'information géographique et forestière,1,1
Q3631463,public hospital in Italy,Q1665102,Institut national de l'information géographique et forestière,0,2
Q7603018,State Agricultural Farm,Q1665102,Institut national de l'information géographique et forestière,0,2
Q5589413,Government-owned and controlled corporation,Q1665102,Institut national de l'information géographique et forestière,1,2
Q2324797,health establishments,Q1665102,Institut national de l'information géographique et forestière,0,2
Q5189477,Crown agency,Q1665102,Institut national de l'information géographique et forestière,0,2
Q4571771,statsforetak,Q1665102,Institut national de l'information géographique et forestière,0,2
Q2324813,state bank,Q1665102,Institut national de l'information géographique et forestière,0,2
Q811909,technological component,Q167676,sensor,1,1
Q2056083,Passiver Prüfabschluss,Q167676,sensor,1,2
Q839546,machine element,Q167676,sensor,1,2
Q3183052,Expansion joint,Q167676,sensor,0,2
Q1752270,vee belt,Q167676,sensor,0,2
Q811491,boom,Q167676,sensor,0,2
Q845671,spoke,Q167676,sensor,0,2
Q6750281,hull,Q167676,sensor,0,2
Q2559156,Tipped tool,Q167676,sensor,0,2
Q20826126,,Q167676,sensor,0,2
Q1409295,track switch,Q167676,sensor,0,2
Q3191702,optical waveguide,Q167676,sensor,1,2
Q57693916,aero part,Q167676,sensor,0,2
Q9394522,bow limbs,Q167676,sensor,0,2
Q786732,car wheel,Q167676,sensor,0,2
Q173350,printed circuit board,Q167676,sensor,0,2
Q840773,muzzle brake,Q167676,sensor,0,2
Q978234,air compressor,Q167676,sensor,0,3
Q1068107,chassis,Q167676,sensor,0,3
Q32350958,bingo hall,Q133215,casino,1,1
Q770881,online casino,Q133215,casino,1,1
Q7279719,racino,Q133215,casino,1,1
Q16852719,casino hotel,Q133215,casino,1,1
Q6664710,Locals casino,Q133215,casino,1,1
Q655686,commercial building,Q133215,casino,1,1
Q7338100,Riverboat casino,Q133215,casino,1,1
Q1151067,rule,Q228493,access right,1,1
Q1368455,opt-out,Q228493,access right,0,2
Q425951,capitalization,Q228493,access right,0,2
Q46994776,Right to Challenge,Q228493,access right,0,2
Q7375071,royal instructions,Q228493,access right,0,2
Q1518244,business rule,Q228493,access right,0,2
Q23758,Three Laws of Robotics,Q228493,access right,0,2
Q21006424,legal obligation,Q228493,access right,1,2
Q211364,principle,Q228493,access right,0,2
Q11242653,Supreme Commander for the Allied Powers Instruction Note,Q228493,access right,0,2
Q853614,identifier,Q338978,Access Point Name_Enable,1,1
Q369494,Joint Electronics Type Designation System,Q338978,Access Point Name_Enable,0,2
Q1268470,product key,Q338978,Access Point Name_Enable,0,2
Q54975531,incorrect identifier value,Q338978,Access Point Name_Enable,0,2
Q2462003,instant messaging client,Q17130715,Slack,1,1
Q43229,organization,Q17130715,Slack,1,1
Q620615,mobile app,Q17130715,Slack,1,1
Q166142,application,Q17130715,Slack,1,1
Q58542,multi protocol instant messaging clients,Q17130715,Slack,1,2
Q10417670,IRC client,Q17130715,Slack,1,2
Q1132944,Science shop,Q17130715,Slack,0,2
Q15548100,free instant messaging client,Q17130715,Slack,1,2
Q2401485,expedition,Q17130715,Slack,0,2
Q15505266,Login manager,Q17130715,Slack,0,2
Q3023650,social rental office,Q17130715,Slack,0,2
Q467707,software development kit,Q1484375,PyCharm,1,1
Q13741,integrated development environment,Q1484375,PyCharm,1,1
Q341,free software,Q1484375,PyCharm,1,1
Q10334075,Mxmlc,Q1484375,PyCharm,0,2
Q174989,file system,Q20072248,Hadoop Distributed Filesystem,1,1
Q339678,distributed data store,Q20072248,Hadoop Distributed Filesystem,1,1
Q28380029,network file system,Q20072248,Hadoop Distributed Filesystem,1,2
Q7606661,Steganographic file system,Q20072248,Hadoop Distributed Filesystem,0,2
Q7302818,Record-oriented filesystem,Q20072248,Hadoop Distributed Filesystem,0,2
Q18156745,Trafodion,Q20072248,Hadoop Distributed Filesystem,1,2
Q34736746,Sinclair QL filesystem,Q20072248,Hadoop Distributed Filesystem,0,2
Q11016,technology,Q841645,Internet television,1,1
Q18657814,isothermal technology,Q841645,Internet television,0,2
Q743030,environmental technology,Q841645,Internet television,0,2
Q6941971,music instrument technology,Q841645,Internet television,0,2
Q1001378,cinematic technique,Q841645,Internet television,0,2
Q7449091,Semantic technology,Q841645,Internet television,0,2
Q1519843,health technology,Q841645,Internet television,0,2
Q14326701,aspect-oriented software development,Q841645,Internet television,0,2
Q1751537,membrane technology,Q841645,Internet television,0,2
Q1122355,Computer telephony integration,Q841645,Internet television,1,2
Q11971600,gas power,Q841645,Internet television,0,2
Q19292902,vehicle safety technology,Q841645,Internet television,0,2
Q7312473,Renaissance technology,Q841645,Internet television,0,2
Q6140109,materials technology,Q841645,Internet television,0,2
Q6887246,mobile technology,Q841645,Internet television,0,2
Q54006339,display technology,Q841645,Internet television,1,2
Q1780543,communication technology,Q841645,Internet television,1,2
Q1916441,media technology,Q841645,Internet television,1,2
Q1000064,nuclear reactor technology,Q841645,Internet television,0,2
Q1742264,film technology,Q841645,Internet television,1,2
Q2865882,industrial arts,Q841645,Internet television,0,2
Q348091,nuclear technology,Q841645,Internet television,0,2
Q211017,e-government,Q841645,Internet television,0,2
Q60790901,Pedestrian crash avoidance mitigation,Q841645,Internet television,0,2
Q16319025,financial technology,Q841645,Internet television,0,2
Q6631525,food engineering,Q841645,Internet television,0,2
Q4704909,Ancient Greek technology,Q841645,Internet television,0,2
Q3180036,medieval technology,Q841645,Internet television,0,2
Q12739,nuclear power,Q841645,Internet television,0,2
Q48772760,Solar energy conversion,Q841645,Internet television,0,2
Q7096284,web platform,Q841645,Internet television,0,2
Q211500,pneumatics,Q841645,Internet television,0,2
Q23001701,technics,Q841645,Internet television,1,2
Q466410,high tech,Q841645,Internet television,1,2
Q1392806,drug delivery,Q841645,Internet television,0,2
Q4086911,biomedical technology,Q841645,Internet television,0,2
Q5063947,low floor technology,Q841645,Internet television,0,2
Q282413,Roman technology,Q841645,Internet television,0,2
Q104954,radio-frequency identification,Q841645,Internet television,0,2
Q911772,technical chemistry,Q841645,Internet television,0,2
Q6764311,marine technology,Q841645,Internet television,0,2
Q6661985,data processing,Q1276130,extract  transform  load,1,1
Q1149776,data management,Q1276130,extract  transform  load,1,2
Q5227287,data extraction,Q1276130,extract  transform  load,1,2
Q25110138,borehole imaging log,Q1276130,extract  transform  load,0,2
Q18352767,JSON Streaming,Q1276130,extract  transform  load,0,2
Q386824,data integration,Q1276130,extract  transform  load,1,3
Q205446,dataflow,Q1276130,extract  transform  load,1,3
Q15618647,data warehousing product,Q1276130,extract  transform  load,1,3
Q1932543,data migration,Q1276130,extract  transform  load,1,3
Q15618646,ETL tool,Q1276130,extract  transform  load,1,4
Q658255,subsidiary,Q456157,Amazon Web Services,1,1
Q241317,computing platform,Q456157,Amazon Web Services,1,1
Q1210425,internet hosting service,Q456157,Amazon Web Services,1,1
Q21980538,commercial organization,Q456157,Amazon Web Services,1,1
Q1153767,platform as a service,Q456157,Amazon Web Services,1,1
Q19871383,ABC Heinz Indonesia,Q456157,Amazon Web Services,0,2
Q588365,virtual hosting,Q456157,Amazon Web Services,1,2
Q61715186,podcast hosting service,Q456157,Amazon Web Services,0,2
Q3144517,domain name and web hosting service,Q456157,Amazon Web Services,1,2
Q3129265,HECTOR MX,Q456157,Amazon Web Services,0,2
Q2142726,Macintosh SE/30,Q456157,Amazon Web Services,0,2
Q2721136,image hosting service,Q456157,Amazon Web Services,1,2
Q4022423,Yamaha Drums,Q456157,Amazon Web Services,0,2
Q3854693,Menlow,Q456157,Amazon Web Services,0,2
Q2277901,shell provider,Q456157,Amazon Web Services,1,2
Q15836568,computer network protocol,Q721869,Reverse Address Resolution Protocol,1,1
Q3359815,PPPoX,Q721869,Reverse Address Resolution Protocol,0,2
Q203087,signaling protocol,Q721869,Reverse Address Resolution Protocol,0,2
Q5013874,CRFS (Coherent Remote File System),Q721869,Reverse Address Resolution Protocol,0,2
Q2622793,JetDirect,Q721869,Reverse Address Resolution Protocol,0,2
Q8777,Hypertext Transfer Protocol,Q721869,Reverse Address Resolution Protocol,0,2
Q56256173,class of chemical compounds with similar applications or functions,Q152763,lithium compounds,1,1
Q1340366,Enders reagents,Q152763,lithium compounds,0,2
Q216830,reducing agent,Q152763,lithium compounds,1,2
Q476068,Act of Congress in the United States,Q5440256,Federal Information Security Management Act of 2002,1,1
Q16089878,United States public law,Q5440256,Federal Information Security Management Act of 2002,1,2
Q1612881,National Defense Authorization Act,Q5440256,Federal Information Security Management Act of 2002,0,2
Q7101797,organic act,Q5440256,Federal Information Security Management Act of 2002,0,2
Q5160964,congressional charter,Q5440256,Federal Information Security Management Act of 2002,0,2
Q128207,terrestrial planet,Q2,Earth,1,1
Q3504248,inner planet of the Solar System,Q2,Earth,1,1
Q82794,geographic region,Q2,Earth,1,1
Q10535394,informal region,Q2,Earth,0,2
Q1140140,mainland,Q2,Earth,0,2
Q205895,landmass,Q2,Earth,1,2
Q947362,zone de protection paysagère de Sopron,Q2,Earth,0,2
Q2670101,Earth analog,Q2,Earth,1,2
Q327757,super-Earth,Q2,Earth,1,2
Q399984,hemisphere of the Earth,Q2,Earth,1,2
Q486972,human settlement,Q2,Earth,1,2
Q198782,tropical cyclone basin,Q2,Earth,0,2
Q15129745,sub-Earth,Q2,Earth,1,2
Q1200957,tourist destination,Q2,Earth,0,2
Q7925010,vice-county,Q2,Earth,0,2
Q7538697,Slap bracelet,Q201664,bracelet,1,1
Q4470686,decoration,Q201664,bracelet,1,1
Q16839772,Gel bracelet,Q201664,bracelet,1,1
Q3575260,bijou,Q201664,bracelet,1,1
Q488720,charm bracelet,Q201664,bracelet,1,1
Q1455890,friendship bracelet,Q201664,bracelet,1,1
Q7120070,POW bracelet,Q201664,bracelet,1,1
Q2111434,pendant,Q201664,bracelet,1,2
Q161439,jewelry,Q201664,bracelet,1,2
Q11796413,decoration,Q201664,bracelet,1,2
