qid,label
Q1500419,Open Mobile Alliance
Q146768,middleware
Q42253,Uniform Resource Locator
Q1437394,formal concept analysis
Q658464,Centrino
Q9798,saxophone
Q387168,C-HTML
Q899288,multicast
Q1125400,Confluence
Q352455,Adaptive Multi-Rate Wideband
Q8767,Domain Name System
Q17370651,Orange cloud for business
Q1487,hacker
Q80131,poker
Q17054505,Google Cloud Platform
Q280761,Windows Media Video
Q193424,web service
Q93249,antivirus software
Q1200183,Fiber to the home
Q180704,Iron Man
Q161410,peer-to-peer
Q16340,XPath
Q1082861,long wave
Q4827433,Available Bit Rate
Q727490,scalability
Q15618675,scrum master
Q39162,open source
Q11661,information technology
Q1199743,gradient descent
Q334765,hotspot
Q221682,semaphore
Q853645,Universal Disk Format
Q466,World Wide Web
Q1575,Internet Explorer
Q1135046,secure copy protocol
Q131164,Web 2.0
Q200647,EPOC
Q11660,artificial intelligence
Q193321,Java Virtual Machine
Q2072356,Amazon Elastic Compute Cloud
Q3816639,Kotlin
Q2746070,Canelé
Q219763,MPEG-4
Q30299483,Inria Nancy - Grand-Est research centre
Q171045,Open Virtualization Format
Q233394,code division multiple access
Q115637,Mobile Station Roaming Number
Q178051,Portable Network Graphics
Q2199289,Géoportail
Q2985644,comité technique
Q1046079,1G
Q6588,Périgueux
Q1347847,Central Equipment Identity Register
Q72588,content delivery network
Q180,Wikimedia Foundation
Q15587490,construction client
Q13162,Internet Control Message Protocol
Q483318,Symbian
Q191342,LAMP
Q129337,TGV
Q171545,Belfort
Q1071690,chief security officer
Q175751,quantum tunneling
Q221779,European Conference of Postal and Telecommunications Administrations
Q15618663,product backlog
Q816432,project manager
Q104851,firmware
Q17079392,TSDSI
Q228502,access control
Q5300,central processing unit
Q8803,Transmission Control Protocol
Q133139,electromagnetic spectrum
Q211171,polychlorinated biphenyl
Q12725,electricity
Q29643,Wi-Fi
Q831575,Ishikawa diagram
Q80535,MIDI
Q210214,IPsec
Q51746,Luke Skywalker
Q344266,Active Server Pages
Q4071928,cyberattack
Q12014035,hiking
Q1127220,Conseil supérieur de l'audiovisuel
Q11103,Internet Protocol version 4
Q568494,single sign-on
Q7935151,Virtual Private Cloud
Q865817,Java applet
Q229804,3rd Generation Partnership Project
Q1077480,hypervisor
Q902751,pressurization
Q1071978,Réseau Ferré de France
Q42283,File Transfer Protocol
Q6501125,ground
Q3153007,distributed artificial intelligence
Q3122864,Big Tech
Q288682,XACML
Q1166273,darknet
Q1777840,xajax
Q1847641,human facial hair
Q9492,probability
Q759676,task
Q68,computer
Q52,Wikipedia
Q1224749,Digital Enhanced Cordless Telecommunications
Q1139465,Signalling System No. 7
Q42378,Universal Serial Bus
Q58199,instant messaging
Q1363408,5G
Q338966,access-control list
Q9353697,TFTS
Q156616,The National Institute of Statistics and Economic Studies
Q128831,Federal Communications Commission
Q5583818,Google Cloud Messaging
Q5324052,ERMES
Q2641430,high-density polyethylene
Q1502887,geodetic reference system
Q1150497,burn down chart
Q643290,RATP
Q5324680,EXFO
Q54837,Semantic Web
Q14922,table football
Q133454,high-definition television
Q688702,door-to-door
Q204833,Enhanced Data Rates for GSM Evolution
Q3059271,EtherCalc
Q484598,CAPTCHA
Q193933,dioptre
Q12203,QR code
Q287228,ebXML
Q16001547,Access stratum
Q846636,software architecture
Q196538,microscope
Q44484,HTTPS
Q646089,Consumer Electronics Show
Q1060131,Challenge-Handshake Authentication Protocol
Q723685,video on demand
Q11163,User Datagram Protocol
Q42591,mp3
Q9158,email
Q377539,Kernel-based Virtual Machine
Q2551422,Water damage
Q739120,HTTP/2
Q7350781,megabit per second
Q37033,World Wide Web Consortium
Q2115,Extensible Markup Language
Q6049601,International Conference on Computer Communications
Q4732409,Alliance for Telecommunications Industry Solutions
Q189436,speech recognition
Q169411,Unified Modeling Language
Q570871,email client
Q207819,Standard Generalized Markup Language
Q58435479,Security Risk Analysis
Q207434,human–computer interaction
Q264364,Common Gateway Interface
Q376150,International Telecommunication Union
Q18822,Global Positioning System
Q104534,digital subscriber line
Q2476929,confidentiality
Q18211976,nickel-cadmium
Q375673,Jakarta Servlet
Q864693,chicken meat
Q94,Android
Q1347627,Global Certification Forum
Q1254596,software as a service
Q7251937,Protocol implementation conformance statement
Q579473,Numericable
Q173431,CMOS
Q11368,Unix
Q850,MySQL
Q2867785,AFNIC
Q77590,civil engineering
Q1394796,false acceptance rate
Q44395,pascal
Q1340643,master builder
Q718,chess
Q1224715,dblp computer science bibliography
Q488244,Windows Embedded Compact
Q1135914,event-driven programming
Q333301,Abstract Syntax Notation One
Q309396,keystroke logging
Q223127,Logitech
Q135005,phishing
Q251212,internet of things
Q8777,Hypertext Transfer Protocol
Q312,Apple Inc.
Q3510521,computer security
Q2192,Graphics Interchange Format
Q29169143,data scientist
Q134471,Asynchronous JavaScript and XML
Q133973,WiMAX
Q178127,push-to-talk
Q49108,Massachusetts Institute of Technology
Q1411027,Telecommunication Technology Committee
Q236908,Six Sigma
Q2488884,RJ-11 connectors
Q2826644,French Food Safety Agency
Q231136,Encarta
Q1933140,carbon dioxide equivalent
Q691593,Common Object Request Broker Architecture
Q166936,Internet Message Access Protocol
Q171,wiki
Q223323,root mean square
Q7603,GNU General Public License
Q81945,Voice over IP
Q28406404,Microsoft Teams
Q38076,McDonald’s
Q22661306,Kubernetes
Q146368,polyvinyl chloride
Q325904,breadth-first search
Q978801,mobile country code
Q2813,Coca-Cola
Q118398,arXiv
Q2897746,RJ-48
Q54366,packet analyzer
Q79692,3G
Q183169,Jakarta Server Pages
Q51731363,Point-to-Point Protocol over AAL2
Q184748,codec
Q35476,AT&T
Q1958286,web indexing
Q10322548,MQTT
Q8248940,Bluetooth
Q168210,Internet forum
Q678615,CompactFlash
Q75,Internet
Q847,tennis
Q2905238,BlaBlaCar
Q11306265,noise
Q746413,Elsevier BV
Q209330,Instagram
Q1752554,Telecommunications Industry Association
Q381,Ubuntu
Q431344,ADSL2+
Q15995590,Wireless Broadband Alliance
Q195,chocolate
Q460387,Scrum
Q15171,Address Resolution Protocol
Q186224,Wireless Application Protocol
Q131476,graph theory
Q76592,combinatorics
Q487343,solid-state drive
Q2872789,Autorité de Régulation des Communications Électroniques  des Postes et de la Distribution de la Presse
Q826165,Web Ontology Language
Q178562,Digital Video Broadcasting
Q202519,DivX
Q249998,signal bandwidth
Q207472,Toto
Q432394,assisted GNSS
Q20514253,blockchain
Q42490,Asterix
Q191895,RS-232
Q80998,firewall
Q174077,flash memory
Q3214499,LORIA
Q3477337,Secrétariat général de la défense et de la sécurité nationale
Q786900,MSISDN
Q177234,mainframe computer
Q627335,workflow
Q1359246,Jira
Q163393,Post Office Protocol 3
Q179465,polyphony
Q1146165,Extensible Authentication Protocol
Q302022,ActiveX
Q1427899,rack unit
Q2994294,GMSK
Q131566,Institute of Electrical and Electronics Engineers
Q28785,Sacré-Cœur
Q1026962,digital humanities
Q257597,SWIFT
Q623338,Web Services Description Language
Q188816,Lightweight Directory Access Protocol
Q338992,WAI-ARIA
Q1193354,IEEE 802.11n
Q177765,biometrics
Q1152227,pharmacogenomics
Q2269250,kilobit per second
Q1142376,LIFO
Q22732,Streisand effect
Q159144,Europa-Park
Q379626,Advanced Message Queuing Protocol
Q105674,running
Q1750812,ergonomics
Q18833,Microsoft SharePoint
Q614362,Orange Livebox
Q66175,telex
Q11288,web server
Q202745,neuro-linguistic programming
Q509404,Alcatel-Lucent
Q46794,Subversion
Q33959,Nice
Q238599,5 Whys
Q364,GitHub
Q462,Star Wars
Q16820462,Borderlands
Q289,television
Q41609,Domain Name System Security Extensions
Q752245,widescreen
Q1268005,Post Office Protocol
Q2826678,Agence nationale des fréquences
Q166074,Extensible HyperText Markup Language
Q35996,Mazda
Q11155,Border Gateway Protocol
Q44127,server
Q899383,European Telecommunications Standards Institute
Q1054787,Nippon Telegraph and Telephone
Q335827,Directorate-General for External Security
Q10290274,Gmsk
Q959710,Password Authentication Protocol
Q11273,Moving Picture Experts Group
Q47607,Structured Query Language
Q79703,Long Term Evolution
Q2493,data compression
Q1474517,French National Institute of Health and Medical Research
Q3025536,DevOps
Q95,Google
Q5289,.NET Framework
Q692033,digital subscriber line access multiplexer
Q1377194,European Union Agency for Cybersecurity
Q12130,Brittany
